Symmetrical acid anhydrides,are named by replacing,Parent acid
Phosphoric acid,is an example of,Inorganic acid
Formula,describes the structure of,Carboxylic anhydride
Acyl groups,are bonded to,Oxygen atom
Glycolysis,involves the formation of,"1,3-bisphosphoglyceric acid"
Benzoic acid,reacts with,Propanoic acid
Propanoic acid,reacts with,Benzoic acid
3-phosphoglyceric acid,reacts with,Phosphoric acid
Acetic anhydride,is an example of,Symmetrical acid anhydrides
"1,3-bisphosphoglyceric acid",is a type of,Mixed anhydride
Benzoic propanoic anhydride,is an example of,Unsymmetrical acid anhydrides
Acid anhydride,has two,Acyl groups
