Helium (He),is used as,Shielding gas
Argon (Ar),is used as,Filler gas
Noble gases,have low,Chemical reactivity
Noble gases,are in group,Group 18
Oganesson (Og),is a member of,Group 18
Helium (He),has low,Boiling points
Neon (Ne),has low,Boiling points
Argon (Ar),is used in,Welding
Hydrogen,was replaced with,Helium
Radon (Rn),is isolated from,Radioactive decay
Noble gases,have full,Outer shell
Noble gases,are obtained by,Fractional distillation
Oganesson (Og),is a,Synthetic element
Radon (Rn),is usually isolated from,Uranium compounds
Helium (He),is also a byproduct of,Natural gas
Argon (Ar),is used as,Shielding gas
Noble gases,have low,Flammability
