Carboxylate,is a subclass of,Carboxylic Acid
Hydroperoxy,is a subclass of,Hydroperoxide
Nitroso compound,has a subclass,Nitrosooxy
Methylidene group,has a suffix,-ylidene
Ethane,becomes,Ethyl
Cyanate,has subclasses,Isocyanate
Phosphate,is a subclass of,Phosphodiester
Phenyl,is a subclass of,Benzene Derivative
Acyl Halide,has a subclass,Haloformyl
Oxime,is a subclass of,Oxime
Silyl Ether,is an example of,Trimethylsilyl Triflate
Benzene Derivative,includes,Phenyl
Sulfonate Ester,is a subclass of,Sulfonic Acid
Borinate,is a subclass of,Borinic Ester
Parent hydrocarbon,can be,Unsaturated
Ligands,are functional groups that bind to,Central atom
4-aminobutanoic acid,uses,IUPAC conventions
Haloformyl,is a subclass of,Acyl Halide
Sugar,dissolves in,Water
Fluorine,becomes an,Ionic salt
Nitrile,has subclasses,Isocyanate
Trimethylsilyl Triflate,is an example of,Silyl Ether
Benzene Derivative,includes,Phenyl
Sulfinyl,is a subclass of,Sulfoxide
Functional groups,determine the molecule's,Chemical reactions
Chemical properties,are determined by,Functional groups
Cyclic,is a subclass of,Heterocycle
Thioketone,is a subclass of,Thiolester
Moiety,can refer to larger units containing multiple,Functional groups
Hydroxyl,is a subclass of,Alcohol
Chemical synthesis,involves the systematic design of,Chemical reactions
Primary amine,is a subclass of,Amine
Solubility,is affected by,Functional groups
Peroxide,has a subclass,Hydroperoxide
Sulfonyl,is a subclass of,Sulfone
Double bond,is represented by,R:
Thionoester,is a subclass of,Thiolester
Alkylaluminium,is an example of,Alkyllithium
reactions,are determined by,Functional groups
Acyl,is a subclass of,Carboxylic Acyl Radical
Beta,is used in,Traditional naming
Aryl moiety,can refer to larger units containing multiple,Functional groups
Alkyllithium,has an example,Methyllithium
Isonitrile,is a subclass of,Nitrile
Substituents,are functional groups that replace,Hydrogen
Names,of radicals or moieties use,Suffixes
Orthocarbonate Ester,is a subclass of,Carbonate Ester
Carbonate Ester,has subclasses,Orthocarbonate Ester
Nitrite,has a subclass,Nitrosooxy
Sulfoxide,has a subclass,Sulfinyl
Electronegative,describes the property of,Fluorine
Carbodithioic Acid,is a subclass of,Dithiocarboxylic Acid Ester
Azo compound,has a subclass,Diimide
Alpha,is used in,Traditional naming
Ether,has subclasses,Silyl Ether
